"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief over Stand van zaken Villa ExpertCare en vervolg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/01/kamerbrief-over-stand-van-zaken-villa-expertcare-en-vervolg","Kamerbrief over Stand van zaken Villa ExpertCare en vervolg",2026-04-01 11:00:16,"de300ef9-0074-4e02-b05a-3c449826e78f"
"Kamerbrief over zeggenschap 2026","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/26/kamerbrief-over-zeggenschap-2026","Minister Bruijn (VWS) informeert de Tweede Kamer over de wijze waarop het ministerie van Volksgezondheid, Welzijn en Sport (VWS) de transitie naar meer zeggenschap tijdelijk ondersteunt.Kamerbrief over zeggenschap 2026",2026-04-01 10:53:57,"7808194d-101a-41b1-b93d-cb74b15a3dbc"
"Kamerbrief over het SER-adviesrapport ‘Mantelzorg en werk in een zorgzame samenleving Een integrale aanpak voor een werkende combinatie’ voorafgegaan door een kabinetsreactie","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/01/kamerbrief-over-het-ser-adviesrapport-mantelzorg-en-werk-in-een-zorgzame-samenleving-een-integrale-aanpak-voor-een-werkende-combinatie-voorafgegaan-door-een-kabinetsreactie","Kamerbrief over het SER-adviesrapport ‘Mantelzorg en werk in een zorgzame samenleving Een integrale aanpak voor een werkende combinatie’ voorafgegaan door een kabinetsreactie",2026-04-01 10:03:57,"f067d49e-90eb-4149-a882-52a0a9e75d2d"
"Kamerbrief over Samenvattend rapport Zvw NZa 2025","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/01/kamerbrief-over-samenvattend-rapport-zvw-nza-2025","Kamerbrief over Samenvattend rapport Zvw NZa 2025",2026-04-01 09:57:05,"903ebc3e-b66e-41f2-9ed8-cfacf9315ecc"
"Kamerbrief over Voortgangsbrief Beschikbaarheid Geneesmiddelen ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/01/kamerbrief-over-voortgangsbrief-beschikbaarheid-geneesmiddelen","Kamerbrief over Voortgangsbrief Beschikbaarheid Geneesmiddelen",2026-04-01 08:30:50,"05920313-23d1-46b4-a2dc-69f54bda62cb"
"Kamerbrief over Stand van zaken geboortezorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/01/kamerbrief-over-stand-van-zaken-geboortezorg","De Eerste Kamer heeft eenzelfde  brief gekregen.Kamerbrief over Stand van zaken geboortezorg",2026-04-01 08:01:21,"82f61adb-e0f6-4b1a-b014-4a98943ba3c4"
"Kamerbrief appreciatie motie over parlementaire opvolging zorgplicht","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/31/kamerbrief-over-appreciatie-motie-van-het-lid-claassen-over-parlementaire-opvolging-zorgplicht","Minister Hermans (VWS) stuurt de Tweede Kamer haar appreciatie (reactie) op de motie over de parlementaire opvolging zorgplicht. De motie is ingediend door het Kamerlid Claassen (Groep Markuszower).Kamerbrief appreciatie motie over parlementaire opvolging zorgplicht",2026-04-01 07:52:23,"fb0f4c62-08fc-4d80-a18b-492e7ab7da82"
"Aanbiedingsbrief accountantsrapport bij tweede basisrapportage PALLAS-nieuwbouwprogramma","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/21/adr-accountantsrapport-bij-de-basisrapportage-pallas-nieuwbouwprogramma","Minister Bruijn (VWS) stuurt de Tweede Kamer het accountantsrapport van de Auditdienst Rijk bij de tweede basisrapportage van het PALLAS-nieuwbouwprogramma. Doel van het PALLAS-programma is de bouw van een nieuwe reactor voor medische isotopen.Aanbiedingsbrief accountantsrapport bij tweede basisrapportage PALLAS-nieuwbouwprogramma",2026-03-31 15:29:33,"bcb577f6-cf1d-47d0-a017-0b27e7642ba8"
"Aanbiedingsbrief nota's en toetsen wetsvoorstel Verzamelwet gegevensverwerking VWS II.b","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/21/kamerbrief-inzake-verzamelwet-gegevensverwerking-vws-ii-b-nota-naar-aanleiding-van-het-verslag-en-nota-van-wijziging","Minister Bruijn (VWS) stuurt de Tweede Kamer de nota naar aanleiding van het verslag en een nota van wijziging over het voorstel van wet tot wijziging van een aantal wetten op het terrein van het ministerie van Volksgezondheid, Welzijn en Sport om de grondslag voor gegevensverwerkingen te verstevigen en enkele andere wijzigingen (Verzamelwet gegevensverwerking VWS II.b). Ook stuurt de minister een uitvoeringstoets en enkele adviezen over het wetsvoorstel mee.Aanbiedingsbrief nota's en toetsen wetsvoorstel Verzamelwet gegevensverwerking VWS II.b",2026-03-31 14:54:24,"2f65b410-b3dd-47b0-988e-d3905b5c63f3"
"Nota van wijziging wetsvoorstel Verzamelwet gegevensverwerking VWS II.b","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/21/nota-van-wijziging-en-toelichting","Wijziging van het voorstel van wet tot wijziging van een aantal wetten op het terrein van het ministerie van Volksgezondheid, Welzijn en Sport om de grondslag voor gegevensverwerkingen te verstevigen en enkele andere wijzigingen (Verzamelwet gegevensverwerking VWS II.b). In dit document vindt u ook een toelichting op de wijzigingen.Nota van wijziging wetsvoorstel Verzamelwet gegevensverwerking VWS II.b",2026-03-31 14:54:24,"a2c317cd-bbf0-4b64-9563-f75222c0647d"
"Nota naar aanleiding van verslag wetsvoorstel Verzamelwet gegevensverwerking VWS II.b","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/21/nota-n-a-v-verslag","Minister Bruijn (VWS) geeft antwoord op vragen over het voorstel van wet tot wijziging van een aantal wetten op het terrein van het ministerie van Volksgezondheid, Welzijn en Sport om de grondslag voor gegevensverwerkingen te verstevigen en enkele andere wijzigingen (Verzamelwet gegevensverwerking VWS II.b). De Tweede Kamerfracties van PVV, GroenLinks-PvdA, VVD, NSC, D66, BBB, CDA en SP hebben deze vragen gesteld.Nota naar aanleiding van verslag wetsvoorstel Verzamelwet gegevensverwerking VWS II.b",2026-03-31 14:54:23,"394911a2-ed5b-4a07-8d9d-1b71b5efeff9"
"Kamerbrief inzake 3-den; petitie 'Verbeter de zorg voor mensen met een beperking'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/31/kamerbrief-inzake-3-den-petitie-verbeter-de-zorg-voor-mensen-met-een-beperking","Kamerbrief inzake 3-den; petitie 'Verbeter de zorg voor mensen met een beperking'",2026-03-31 14:47:48,"b33a922a-60e4-4b6c-b52c-3c591ef7696d"
"Uitstelbrief op Kamervragen over het bericht Hotel vangt jarenlang kwetsbare mensen op, gemeente zet er streep door (2026Z04355)","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/31/uitstelbrief-op-kamervragen-over-het-bericht-hotel-vangt-jarenlang-kwetsbare-mensen-op-gemeente-zet-er-streep-door-2026z04355","Uitstelbrief op Kamervragen over het bericht Hotel vangt jarenlang kwetsbare mensen op, gemeente zet er streep door (2026Z04355)",2026-03-31 14:35:49,"6d5fe75a-1d0f-4868-a644-cb90791199e4"
"Antwoorden op Kamervragen over gezondheid en kankerrisico’s rond Chemelot","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/31/antwoorden-op-kamervragen-over-gezondheid-en-kankerrisico-s-rond-chemelot","Antwoorden op Kamervragen over gezondheid en kankerrisico’s rond Chemelot",2026-03-31 14:35:02,"693fa370-2a9e-4c81-8bed-8b7b000da5f3"
"Aanbiedingsbrief bij Jaarbeeld Inspectie Gezondheidszorg en Jeugd 2025","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/31/kamerbrief-over-jaarbeeld-igj-2025","Minister Hermans (VWS) biedt de Tweede Kamer het Jaarbeeld 2025 van de Inspectie Gezondheidszorg en Jeugd (IGJ) aan. Met dit jaarbeeld laat de inspectie zien wat zij in 2025 gedaan heeft in het toezicht op kwaliteit en veiligheid van zorg, het toezicht op de keten van geneesmiddelen en lichaamsmaterialen, de veiligheid van medische hulpmiddelen en de veilige toepassing daarvan door zorgverleners.Aanbiedingsbrief bij Jaarbeeld Inspectie Gezondheidszorg en Jeugd 2025",2026-03-31 13:43:04,"f4178a6e-9fbb-4562-83c4-210ae2738fb0"
